scenario,invoice_period,mean_total,lower_95_,upper_95_
with_discount,2025-11-01,54434.51550369268,35778.887413081975,74345.16944200466
no_discount,2025-11-01,178185.57491542344,36017.86971341833,559968.6058420542
with_discount,2025-12-01,78048.10234800112,44103.044454082,112885.20552591988
no_discount,2025-12-01,280736.4420960389,54333.778776185216,711161.9368143354
with_discount,2026-01-01,71235.92917240945,39247.576075144505,101723.1091527327
no_discount,2026-01-01,237333.6789758116,40911.63773441812,716180.3645795132
with_discount,2026-02-01,59673.43047314067,24597.58001086949,95671.68942608283
no_discount,2026-02-01,208668.10972780178,25742.837025211564,607680.7659737669
with_discount,2026-03-01,50299.068438015085,19164.035850731838,81515.2957854405
no_discount,2026-03-01,170221.21991755042,14510.82128728852,571553.6955423449
with_discount,2026-04-01,39263.637304254415,9379.389576763959,71271.163959413
no_discount,2026-04-01,181361.3031086995,13938.960473580666,629746.6189273995
with_discount,2026-05-01,35952.58334650308,352.0595880418762,73130.92046255854
no_discount,2026-05-01,196449.05772447272,7658.4347066391465,623904.912164982
with_discount,2026-06-01,35719.4120379649,7588.679698134559,66493.19433516158
no_discount,2026-06-01,165338.9738833426,6506.62874782998,557223.8207471092
with_discount,2026-07-01,45013.58689211546,13923.036775159944,79774.63858357315
no_discount,2026-07-01,175130.9298794228,11047.885481019133,652322.9701775912
with_discount,2026-08-01,55329.67346228473,28252.82368649117,86102.90684117448
no_discount,2026-08-01,178316.31941682103,28163.806607639217,549450.8915414788
with_discount,2026-09-01,61699.3371003648,28655.039454267404,87132.50038371839
no_discount,2026-09-01,254568.49886087351,30134.569810454395,723081.5215093065
with_discount,2026-10-01,74534.64068595326,42993.7357415546,98072.9670974083
no_discount,2026-10-01,241240.57601159404,51459.452592762216,651130.8422818878
with_discount,2026-11-01,79524.5432699406,50787.119012742165,109446.8212764974
no_discount,2026-11-01,273845.8685084332,65194.96466964014,746046.0626955697
with_discount,2026-12-01,77160.14061047298,43543.5367048726,109857.70981530263
no_discount,2026-12-01,261859.98177386812,54912.742580406164,827521.2949377302
with_discount,2027-01-01,68523.58652089673,37716.429377664375,93668.7491633476
no_discount,2027-01-01,262469.10718296096,46238.36236701977,789980.4652910938
