invoice_period,forecast_discounted_price,forecast_undiscounted_price,forecast_discount_amount,discount_rate_pct
2025-11-01,8888291.306960478,9866556.018744737,978264.7117842585,9.914956241323985
2025-12-01,8755278.436028253,9617305.74036067,862027.3043324165,8.963293126002757
2026-01-01,8012258.77595449,8736973.778151467,724715.0021969778,8.294805737076505
2026-02-01,6849028.143699966,7454982.199870142,605954.0561701758,8.128175761180636
2026-03-01,5569168.353730434,6109803.07684921,540634.7231187765,8.848643995864734
2026-04-01,4509099.718654258,5058768.051029773,549668.3323755153,10.865655962692806
2026-05-01,3946898.331698915,4581005.29288065,634106.9611817347,13.84209186938076
2026-06-01,4026825.383337752,4801430.766418758,774605.3830810059,16.13280334059176
2026-07-01,4723375.152332498,5660700.570780396,937325.4184478987,16.55847022338928
2026-08-01,5846751.821722372,6929392.638212557,1082640.8164901845,15.623891919760702
2026-09-01,7092191.924454509,8267538.092297132,1175346.1678426228,14.216398578649347
2026-10-01,8125638.453094783,9320798.901264198,1195160.448169415,12.8225108258404
2026-11-01,8669015.314415712,9810046.894644937,1141031.5802292246,11.631255104928048
2026-12-01,8575698.012769714,9607372.498251248,1031674.4854815342,10.738362498896773
2027-01-01,7871192.269395058,8772119.612946842,900927.3435517838,10.270349508482509
